album_name,track_title,track_n,lyric,line
reputation,...Ready for It?,1,Knew he was a killer first time that I saw him,1
reputation,...Ready for It?,1,Wondered how many girls he had loved and left haunted,2
reputation,...Ready for It?,1,"But if he's a ghost, then I can be a phantom",3
reputation,...Ready for It?,1,"Holdin' him for ransom, some",4
reputation,...Ready for It?,1,"Some boys are tryin' too hard, he don't try at all though",5
reputation,...Ready for It?,1,"Younger than my exes, but he act like such a man, so",6
reputation,...Ready for It?,1,"I see nothing better, I keep him forever",7
reputation,...Ready for It?,1,Like a vendetta-ta,8
reputation,...Ready for It?,1,"I, I, I see how this is gon' go",9
reputation,...Ready for It?,1,Touch me and you'll never be alone,10
reputation,...Ready for It?,1,I-Island breeze and lights down low,11
reputation,...Ready for It?,1,No one has to know,12
reputation,...Ready for It?,1,"In the middle of the night, in my dreams",13
reputation,...Ready for It?,1,"You should see the things we do, baby",14
reputation,...Ready for It?,1,"In the middle of the night, in my dreams",15
reputation,...Ready for It?,1,"I know I'm gonna be with you, so I take my time",16
reputation,...Ready for It?,1,Are you ready for it?,17
reputation,...Ready for It?,1,Knew I was a robber first time that he saw me,18
reputation,...Ready for It?,1,Stealing hearts and running off and never sayin' sorry,19
reputation,...Ready for It?,1,"But if I'm a thief, then he can join the heist, and",20
reputation,...Ready for It?,1,"We'll move to an island, and",21
reputation,...Ready for It?,1,"And he can be my jailer, Burton to this Taylor",22
reputation,...Ready for It?,1,Every love I've known in comparison is a failure,23
reputation,...Ready for It?,1,"I forget their names now, I'm so very tame now",24
reputation,...Ready for It?,1,"Never be the same now, now",25
reputation,...Ready for It?,1,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,26
reputation,...Ready for It?,1,"I, I, I see how this is gon' go",27
reputation,...Ready for It?,1,Touch me and you'll never be alone,28
reputation,...Ready for It?,1,I-Island breeze and lights down low,29
reputation,...Ready for It?,1,No one has to know (No one has to know),30
reputation,...Ready for It?,1,"In the middle of the night, in my dreams",31
reputation,...Ready for It?,1,"You should see the things we do, baby",32
reputation,...Ready for It?,1,In the middle of the night in my dreams,33
reputation,...Ready for It?,1,"I know I'm gonna be with you, so I take my time",34
reputation,...Ready for It?,1,Are you ready for it?,35
reputation,...Ready for It?,1,"Oh, are you ready for it?",36
reputation,...Ready for It?,1,"Baby, let the games begin",37
reputation,...Ready for It?,1,Let the games begin,38
reputation,...Ready for It?,1,Let the games begin,39
reputation,...Ready for It?,1,"Baby, let the games begin",40
reputation,...Ready for It?,1,Let the games begin,41
reputation,...Ready for It?,1,Let the games begin,42
reputation,...Ready for It?,1,"I, I, I see how this is gon' go",43
reputation,...Ready for It?,1,Touch me and you'll never be alone,44
reputation,...Ready for It?,1,I-Island breeze and lights down low,45
reputation,...Ready for It?,1,No one has to know,46
reputation,...Ready for It?,1,"In the middle of the night (Night), in my dreams (My dreams)",47
reputation,...Ready for It?,1,"You should see the things we do (We do), baby (Baby), hmm (Eh)",48
reputation,...Ready for It?,1,"In the middle of the night, in my dreams (My dreams)",49
reputation,...Ready for It?,1,I know I'm gonna be with you (I know I'm gonna be with you),50
reputation,...Ready for It?,1,So I take my time,51
reputation,...Ready for It?,1,In the middle of the night,52
reputation,...Ready for It?,1,"Baby, let the games begin",53
reputation,...Ready for It?,1,Let the games begin,54
reputation,...Ready for It?,1,Let the games begin,55
reputation,...Ready for It?,1,Are you ready for it?,56
reputation,...Ready for It?,1,"Baby, let the games begin",57
reputation,...Ready for It?,1,Let the games begin,58
reputation,...Ready for It?,1,Let the games begin,59
reputation,...Ready for It?,1,Are you ready for it?,60
reputation,End Game,2,I wanna be your end game,1
reputation,End Game,2,I wanna be your first string,2
reputation,End Game,2,"I wanna be your A-Team (Whoa, whoa, whoa)",3
reputation,End Game,2,"I wanna be your end game, end game",4
reputation,End Game,2,"Big reputation, big reputation",5
reputation,End Game,2,"Ooh, you and me, we got big reputations, ah",6
reputation,End Game,2,"And you heard about me, ooh",7
reputation,End Game,2,I got some big enemies (Yeah),8
reputation,End Game,2,"Big reputation, big reputation",9
reputation,End Game,2,"Ooh, you and me would be a big conversation, ah (Git, git)",10
reputation,End Game,2,"And I heard about you, ooh (Yeah)",11
reputation,End Game,2,"You like the bad ones, too",12
reputation,End Game,2,"You so dope, don't overdose, I’m so stoked, I need a toast",13
reputation,End Game,2,"We do the most, I'm in the Ghost like I'm whippin’ a boat",14
reputation,End Game,2,"I got a reputation, girl that don't precede me (Yeah)",15
reputation,End Game,2,I'm one call away whenever you need me (Yeah),16
reputation,End Game,2,"I'm in a G5 (Yeah), come to the A-Side (Yeah)",17
reputation,End Game,2,"I got a bad boy persona, that's what they like (What they like)",18
reputation,End Game,2,"You love it, I love it too 'cause you my type (You my type)",19
reputation,End Game,2,You hold me down and I protect you with my life,20
reputation,End Game,2,"I don't wanna touch you, I don't wanna be",21
reputation,End Game,2,Just another ex-love you don’t wanna see,22
reputation,End Game,2,I don’t wanna miss you (I don't wanna miss you),23
reputation,End Game,2,Like the other girls do,24
reputation,End Game,2,"I don’t wanna hurt you, I just wanna be",25
reputation,End Game,2,Drinking on a beach with you all over me,26
reputation,End Game,2,I know what they all say (I know what they all say),27
reputation,End Game,2,But I ain't tryna play,28
reputation,End Game,2,I wanna be your end game (End game),29
reputation,End Game,2,I wanna be your first string (First string),30
reputation,End Game,2,I wanna be your A-Team (A-Team),31
reputation,End Game,2,"I wanna be your end game, end game",32
reputation,End Game,2,"Knew her when I was young, reconnected when we were little bit older",33
reputation,End Game,2,"Both sprung, I got issues and chips on both of my shoulders",34
reputation,End Game,2,"Reputation precedes me, in rumors, I'm knee-deep",35
reputation,End Game,2,"The truth is, it's easier to ignore it, believe me",36
reputation,End Game,2,"Even when we’d argue, we'd not do it for long",37
reputation,End Game,2,And you understand the good and bad end up in the song,38
reputation,End Game,2,"For all your beautiful traits, and the way you do it with ease",39
reputation,End Game,2,"For all my flaws, paranoia, and insecurities",40
reputation,End Game,2,"I've made mistakes and made some choices, that's hard to deny",41
reputation,End Game,2,"After the storm, something was born on the 4th of July",42
reputation,End Game,2,"I've passed days without fun, this end game is the one",43
reputation,End Game,2,"With four words on the tip of my tongue, I'll never say it",44
reputation,End Game,2,"I don't wanna touch you, I don't wanna be",45
reputation,End Game,2,Just another ex-love you don't wanna see,46
reputation,End Game,2,I don't wanna miss you (I don't wanna miss you),47
reputation,End Game,2,Like the other girls do,48
reputation,End Game,2,"I don't wanna hurt you, I just wanna be",49
reputation,End Game,2,Drinking on a beach with you all over me,50
reputation,End Game,2,"I know what they all say, yeah",51
reputation,End Game,2,But I ain't tryna play,52
reputation,End Game,2,I wanna be your end game (End game),53
reputation,End Game,2,I wanna be your first string (Wanna be your first string),54
reputation,End Game,2,I wanna be your A-Team (A-Team),55
reputation,End Game,2,"I wanna be your end game, end game",56
reputation,End Game,2,"Big reputation, big reputation",57
reputation,End Game,2,"Ooh, you and me, we got big reputations, ah",58
reputation,End Game,2,"And you heard about me, ooh",59
reputation,End Game,2,I got some big enemies,60
reputation,End Game,2,"Hey, big reputation, big reputation",61
reputation,End Game,2,"Ooh, you and me would be a big conversation, ah",62
reputation,End Game,2,"And I heard about you, ooh",63
reputation,End Game,2,"You like the bad ones, too",64
reputation,End Game,2,"I hit you like bang, we tried to forget it, but we just couldn't",65
reputation,End Game,2,"And I bury hatchets, but I keep maps of where I put 'em",66
reputation,End Game,2,"Reputation precedes me, they told you I'm crazy",67
reputation,End Game,2,"I swear I don't love the drama, it loves me",68
reputation,End Game,2,"And I can't let you go, your hand prints on my soul",69
reputation,End Game,2,"It's like your eyes are liquor, it's like your body is gold",70
reputation,End Game,2,You've been calling my bluff on all my usual tricks,71
reputation,End Game,2,So here's the truth from my red lips,72
reputation,End Game,2,I wanna be your end game (End game),73
reputation,End Game,2,"I wanna be your first string (Me and you, first string)",74
reputation,End Game,2,"I wanna be your A-Team (Be your A-Team now, A-Team)",75
reputation,End Game,2,"I wanna be your end game, end game",76
reputation,End Game,2,"I wanna be your end game (Oh, I do)",77
reputation,End Game,2,I wanna be your first string (First string),78
reputation,End Game,2,I wanna be your A-Team (A-Team),79
reputation,End Game,2,"I wanna be your end game, end game",80
reputation,I Did Something Bad,3,"I never trust a narcissist, but they love me",1
reputation,I Did Something Bad,3,So I play 'em like a violin,2
reputation,I Did Something Bad,3,And I make it look oh-so-easy,3
reputation,I Did Something Bad,3,"'Cause for every lie I tell them, they tell me three",4
reputation,I Did Something Bad,3,This is how the world works,5
reputation,I Did Something Bad,3,Now all he thinks about is me,6
reputation,I Did Something Bad,3,I can feel the flames on my skin,7
reputation,I Did Something Bad,3,Crimson red paint on my lips,8
reputation,I Did Something Bad,3,"If a man talks shit, then I owe him nothing",9
reputation,I Did Something Bad,3,"I don't regret it one bit, 'cause he had it coming",10
reputation,I Did Something Bad,3,They say I did something bad,11
reputation,I Did Something Bad,3,Then why's it feel so good?,12
reputation,I Did Something Bad,3,They say I did something bad,13
reputation,I Did Something Bad,3,But why's it feel so good?,14
